epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
89,2861.25,0.22126,0.96262,1,0.10824,0.005644,0.005644,0.005644
90,2890.06,0.20882,0.95957,1,0.09815,0.0055945,0.0055945,0.0055945
91,2929.37,0.23006,0.9611,1,0.10296,0.005545,0.005545,0.005545
92,2999.63,0.19652,0.96034,1,0.10763,0.0054955,0.0054955,0.0054955
93,3064.18,0.19874,0.96491,1,0.10158,0.005446,0.005446,0.005446
94,3128.68,0.21039,0.9611,1,0.09985,0.0053965,0.0053965,0.0053965
95,3168.82,0.19502,0.96415,1,0.09379,0.005347,0.005347,0.005347
96,3202.07,0.2128,0.96568,1,0.09262,0.0052975,0.0052975,0.0052975
97,3230.92,0.23393,0.9672,1,0.10281,0.005248,0.005248,0.005248
98,3260.61,0.20573,0.96339,1,0.10751,0.0051985,0.0051985,0.0051985
99,3294.42,0.20629,0.9611,1,0.10971,0.005149,0.005149,0.005149
100,3329.17,0.19294,0.9611,1,0.10178,0.0050995,0.0050995,0.0050995
101,3359.43,0.20052,0.96415,1,0.09523,0.00505,0.00505,0.00505
102,3389.09,0.18978,0.96415,1,0.09808,0.0050005,0.0050005,0.0050005
103,3425.6,0.20227,0.9672,1,0.09328,0.004951,0.004951,0.004951
104,3462.96,0.1826,0.9672,1,0.09582,0.0049015,0.0049015,0.0049015
105,3500.43,0.19794,0.97254,1,0.08606,0.004852,0.004852,0.004852
106,3537.5,0.2009,0.97101,1,0.08601,0.0048025,0.0048025,0.0048025
107,3569.18,0.19728,0.96949,1,0.08743,0.004753,0.004753,0.004753
108,3597.78,0.18845,0.97025,1,0.09069,0.0047035,0.0047035,0.0047035
109,3626.98,0.18877,0.96644,1,0.08952,0.004654,0.004654,0.004654
110,3661.26,0.18331,0.96796,1,0.0843,0.0046045,0.0046045,0.0046045
111,3695,0.18844,0.96949,1,0.08552,0.004555,0.004555,0.004555
112,3730.14,0.1787,0.97101,1,0.08759,0.0045055,0.0045055,0.0045055
113,3768.52,0.18141,0.97254,1,0.08433,0.004456,0.004456,0.004456
114,3805.48,0.16449,0.97101,1,0.07848,0.0044065,0.0044065,0.0044065
115,3841.33,0.19667,0.97178,1,0.08066,0.004357,0.004357,0.004357
116,3883.44,0.16126,0.96949,1,0.08132,0.0043075,0.0043075,0.0043075
117,3922.1,0.17302,0.96949,1,0.08344,0.004258,0.004258,0.004258
118,3956.69,0.19929,0.96796,1,0.08598,0.0042085,0.0042085,0.0042085
119,3999.52,0.19072,0.96949,1,0.08641,0.004159,0.004159,0.004159
120,4033.53,0.18185,0.9672,1,0.08897,0.0041095,0.0041095,0.0041095
121,4070.17,0.16891,0.97025,1,0.08591,0.00406,0.00406,0.00406
122,4104.95,0.16011,0.97101,1,0.08564,0.0040105,0.0040105,0.0040105
123,4133.54,0.17253,0.97101,1,0.08441,0.003961,0.003961,0.003961
124,4159.8,0.15767,0.97025,1,0.08047,0.0039115,0.0039115,0.0039115
125,4185.06,0.16573,0.97178,1,0.07771,0.003862,0.003862,0.003862
126,4210.55,0.16947,0.97407,1,0.07432,0.0038125,0.0038125,0.0038125
127,4235.69,0.16846,0.97254,1,0.07316,0.003763,0.003763,0.003763
128,4260.7,0.17377,0.97483,1,0.0713,0.0037135,0.0037135,0.0037135
129,4285.88,0.15262,0.97407,1,0.06931,0.003664,0.003664,0.003664
130,4311.51,0.14816,0.97254,1,0.06912,0.0036145,0.0036145,0.0036145
131,4336.7,0.15468,0.97483,1,0.07021,0.003565,0.003565,0.003565
132,4362.62,0.14765,0.97483,1,0.07172,0.0035155,0.0035155,0.0035155
133,4393.29,0.15609,0.9733,1,0.07219,0.003466,0.003466,0.003466
134,4423.97,0.14657,0.9733,1,0.07216,0.0034165,0.0034165,0.0034165
135,4458.31,0.16352,0.97101,1,0.07236,0.003367,0.003367,0.003367
136,4489.93,0.16529,0.97254,1,0.07048,0.0033175,0.0033175,0.0033175
137,4518.36,0.15495,0.97483,1,0.0676,0.003268,0.003268,0.003268
138,4547.44,0.14537,0.97559,1,0.06408,0.0032185,0.0032185,0.0032185
139,4576.23,0.15117,0.97559,1,0.06297,0.003169,0.003169,0.003169
140,4605.69,0.14371,0.97941,1,0.06165,0.0031195,0.0031195,0.0031195
141,4634.79,0.13975,0.97941,1,0.06127,0.00307,0.00307,0.00307
142,4663.71,0.14449,0.97559,1,0.06132,0.0030205,0.0030205,0.0030205
143,4691.3,0.15764,0.97635,1,0.06153,0.002971,0.002971,0.002971
144,4718.19,0.14113,0.97559,1,0.06126,0.0029215,0.0029215,0.0029215
145,4746.27,0.14206,0.97635,1,0.06085,0.002872,0.002872,0.002872
146,4772.87,0.14004,0.97788,1,0.06045,0.0028225,0.0028225,0.0028225
147,4800.04,0.15483,0.97864,1,0.05852,0.002773,0.002773,0.002773
148,4827.77,0.1354,0.97941,1,0.05766,0.0027235,0.0027235,0.0027235
149,4855.17,0.14593,0.97941,1,0.05684,0.002674,0.002674,0.002674
150,4882.49,0.13142,0.98017,1,0.05622,0.0026245,0.0026245,0.0026245
151,4909.75,0.12853,0.97941,1,0.05595,0.002575,0.002575,0.002575
152,4937.02,0.1362,0.98169,1,0.05485,0.0025255,0.0025255,0.0025255
153,4965.04,0.13904,0.98246,1,0.05419,0.002476,0.002476,0.002476
154,4993.03,0.1242,0.98322,1,0.05394,0.0024265,0.0024265,0.0024265
155,5020.26,0.13163,0.98398,1,0.05348,0.002377,0.002377,0.002377
156,5047.72,0.14473,0.98322,1,0.05302,0.0023275,0.0023275,0.0023275
157,5075.13,0.13583,0.98322,1,0.05301,0.002278,0.002278,0.002278
158,5102.1,0.12381,0.98322,1,0.05273,0.0022285,0.0022285,0.0022285
159,5129.81,0.12356,0.98322,1,0.05197,0.002179,0.002179,0.002179
160,5156.77,0.12861,0.98322,1,0.05148,0.0021295,0.0021295,0.0021295
161,5184.69,0.11964,0.98246,1,0.0507,0.00208,0.00208,0.00208
162,5211.81,0.1106,0.98169,1,0.05059,0.0020305,0.0020305,0.0020305
163,5238.54,0.12467,0.98322,1,0.05021,0.001981,0.001981,0.001981
164,5265.24,0.11595,0.98398,1,0.05002,0.0019315,0.0019315,0.0019315
165,5292.34,0.11401,0.98398,1,0.04939,0.001882,0.001882,0.001882
166,5319.28,0.12465,0.98551,1,0.04863,0.0018325,0.0018325,0.0018325
167,5346.39,0.12441,0.98627,1,0.04813,0.001783,0.001783,0.001783
168,5373.98,0.12251,0.98627,1,0.04763,0.0017335,0.0017335,0.0017335
169,5400.37,0.11694,0.98703,1,0.04737,0.001684,0.001684,0.001684
170,5427.29,0.1145,0.98627,1,0.04683,0.0016345,0.0016345,0.0016345
171,5454.87,0.10663,0.98551,1,0.04621,0.001585,0.001585,0.001585
172,5481.76,0.10861,0.98551,1,0.04569,0.0015355,0.0015355,0.0015355
173,5508.1,0.10382,0.98551,1,0.04557,0.001486,0.001486,0.001486
174,5535.44,0.10478,0.98551,1,0.04516,0.0014365,0.0014365,0.0014365
175,5562.33,0.09548,0.98551,1,0.04497,0.001387,0.001387,0.001387
176,5589.39,0.10629,0.98703,1,0.04472,0.0013375,0.0013375,0.0013375
177,5615.84,0.09707,0.98703,1,0.04427,0.001288,0.001288,0.001288
178,5643.03,0.10097,0.98703,1,0.04401,0.0012385,0.0012385,0.0012385
179,5670.63,0.10196,0.98703,1,0.04375,0.001189,0.001189,0.001189
180,5697.64,0.09835,0.98627,1,0.04368,0.0011395,0.0011395,0.0011395
181,5724.13,0.09503,0.98627,1,0.04356,0.00109,0.00109,0.00109
182,5750.76,0.10041,0.98627,1,0.04334,0.0010405,0.0010405,0.0010405
183,5777.56,0.10105,0.98627,1,0.04316,0.000991,0.000991,0.000991
184,5804.17,0.09472,0.98627,1,0.04285,0.0009415,0.0009415,0.0009415
185,5830.74,0.09222,0.98627,1,0.04274,0.000892,0.000892,0.000892
186,5857.35,0.08146,0.98627,1,0.04252,0.0008425,0.0008425,0.0008425
187,5884.72,0.08682,0.98627,1,0.04227,0.000793,0.000793,0.000793
188,5912.23,0.09171,0.98703,1,0.04192,0.0007435,0.0007435,0.0007435
189,5939.65,0.082,0.98703,1,0.04193,0.000694,0.000694,0.000694
190,5966.65,0.08428,0.98703,1,0.04165,0.0006445,0.0006445,0.0006445
191,6034.3,0.08386,0.98703,1,0.04156,0.000595,0.000595,0.000595
192,6060.93,0.08211,0.98703,1,0.04133,0.0005455,0.0005455,0.0005455
193,6087.35,0.07999,0.98703,1,0.0411,0.000496,0.000496,0.000496
194,6114.2,0.07303,0.9878,1,0.04082,0.0004465,0.0004465,0.0004465
195,6141.04,0.08366,0.9878,1,0.04064,0.000397,0.000397,0.000397
196,6167.64,0.06625,0.98856,1,0.04045,0.0003475,0.0003475,0.0003475
197,6194.57,0.08024,0.98703,1,0.04043,0.000298,0.000298,0.000298
198,6222.38,0.06965,0.9878,1,0.04008,0.0002485,0.0002485,0.0002485
199,6250.25,0.08358,0.9878,1,0.03988,0.000199,0.000199,0.000199
200,6277.84,0.06874,0.9878,1,0.0398,0.0001495,0.0001495,0.0001495
